t,gp_get,gp_put,gr_payload,gr_pad,gr_ts_lo,gr_ts_hi,ce_payload,ce_pad,ce_ts_lo,ce_ts_hi,host_payload,host_pad,host_ts_lo,host_ts_hi
1.402926794,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.402947598,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.402966671,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.402985749,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403015734,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403055925,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403074673,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403093446,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403112167,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403130916,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403149675,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403208040,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403226822,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403245557,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403264206,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403282808,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403301439,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403320011,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403339498,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403358090,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403384183,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403402862,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403421454,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403440072,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
1.403458708,111,111,111,0,4020218880,415961667,0,0,0,0,0,0,0,0
